Cycle | genre,work,witness,siecle,date,langue,nature,nature_descrip.,bibliotheque,localisation,latitude,longitude,cote,ville_imprimeur,auteur,obs.,philobiblon_id,copie_numerisee
Cycle breton,Merlin,Baladro del sabio Merlín con sus profecías,,1535,castillan,imprimé,infolio,Herzog August Bibliotek,Wolfenbüttel,52.1641600188632,10.5303100173037,A: 272.5 Hist. 2o ,"Sevilla, Juan Varela de Salamanca",,,,
Cycle breton,Merlin,Baladro del sabio Merlín con sus profecías,,1535,castillan,imprimé,infolio,Newberry Library,Chicago,41.9001079871785,-87.630628965623,C 17104 ,"Sevilla, Juan Varela de Salamanca",,,,
Cycle breton,Merlin,Baladro del sabio Merlín con sus profecías,,1535,castillan,imprimé,190 folios,University of Illinois ,Urbana,40.104717989501,-88.228487990903, Q. 862 D39OD1535,"Sevilla, Juan Varela de Salamanca",,,,
Cycle breton,Merlin,Demanda del Sancto Grial (﻿De la Demanda del sancto Grial con el baladro del famoissimo profeta y negormante Merlin con sus profecias),,1515,castillan,imprimé,,British Library,Londres,51.5299119,-0.127691816354574, G10241,"Toledo, Juan de Villaquirán",,"( El volumen es un infolio impreso en letra gótica libraria, que se compone de dos partes: un Baladro del famosísimo profeta y nigromante Merlín con sus profecías, perdido en la actualidad, y la Demanda del Sancto Grial propiamente dicha. Esta Demanda de 1515 se conserva en un único ejemplar en la British Library (G10241), proveniente de la Herber´s Library, que se halla encuadernado en un volumen facticio, junto con un Baladro de 1535, lo que lo ha mantenido oculto hasta tiempos recientes. )",BETA manid 4155,
Cycle breton,Tristan en prose,Livro de Tristam,,1225 - 1235 ,galicien-portugais ,fragment ,(bifolio), Archivo Histórico Nacional ,Madrid,40.4406629,-3.68704731477592,"Códices, L. 1501/7",,,"Fragmento de paradeiro desconhecido durante muito tempo no Archivo Histórico, onde servia de capa para uma cópia do testamento de Iñigo López de Mendoza. Fragmento localizado em PARES por Pedro Pinto: 2009-10-30.",BITAGAP texid 1222/ cnum 1810,http://pares.mcu.es/ParesBusquedas20/catalogo/show/2609414?nm
Cycle breton,Tristan en prose,Tristán de Leonís ,,1400/1410,castillan,fragment,59 folios,Biblioteca Nacional de España,Madrid,40.4237276,-3.6899043,MSS/22644/1-51,,,,BETA texid 1277/cnum 8351,https://bdh-rd.bne.es/viewer.vm?id=0000069099&page=1
Cycle breton,Tristan en prose,El cuento de Tristán de Leonís,,1410,castillan,fragment,131 folios, Biblioteca Apostolica Vaticana ,Cité du Vatican ,41.9041500000001,12.4541400000001,6428,,,,BETA texid 1148,
,Tristan en prose,Tristán de Leonís ,XV,,castillan,fragment,1 folio,Biblioteca Nacional de España,Madrid,40.4237276,-3.6899043,MSS/20262/19 ,,,,BETA texid 1277/cnum 619,https://bdh-rd.bne.es/viewer.vm?id=0000069099&page=1
,Tristan en prose,Tristán de Leonís ,,1400,castillan,fragment,,Biblioteca Nacional de España,Madrid,40.4237276,-3.6899043,MSS/12915,,,,BETA texid 1277/cnum 11121,
,Tristan,Libro del esforçado cauallero don Tristan de leonis y de sus grandes fechos de armas,,1501,castillan,imprimé,94 folios de 184*260 mm,British Library,Londres,51.5299119,-0.127691816354574,C.20.d.24,Valladolid: Juan de Burgos (Norton),,,BETA texid 1277/cnum 7418,
,Tristan,Libro del esforçado cauallero don Tristan de leonis y de sus grandes fechos de armas,,1501,castillan,imprimé,,British Library,Londres,51.5299119,-0.127691816354574,C.5 7.1.2,Valladolid: Juan de Burgos (Norton) 12 deFebrero,,,,
,Tristan,Libro del esforçado cauallero don Tristan de leonis y de sus grandes fechos de armas,,1511,castillan,imprimé,80 folios,Library of Congress,Washington,,,"PQ6437, T8 1511","Sevilla, Jacobo Cromberger ",,"encontrada en la Rosenwald CoUection de la Library of Congress de Washington, D. C. (",(v. Megias catalan),
,Tristan,Libro del esforçado cauallero don Tristan de leonis y de sus grandes fechos de armas,,1525,castillan,imprimé,74 folios,Bibliothèque Mazarine. Institut de France,Paris,48.8574100000001,2.33736000000005,370,"Sevilla, Juan Varela de Salamanca",,,,
,Tristan,Libro del esforçado cauallero don tristan de leonis y de sus grandes hechos en armas ,,1525,castillan,imprimé,,Biblioteca Nazionale Universitaria,Turin,45.0684800022601,7.68682002447864,Ris. 24-11,"Sevilla, Juan Varela de Salamanca",,,,
,Tristan,Libro del esforçado cauallero don tristan de leonis y de sus grandes hechos en armas ,,1528,castillan,imprimé,80 folios de 152*231 mm,Biblioteca Nacional de España,Madrid,40.4237276,-3.6899043,R-8.522,"Sevilla, Juan Cromberger, 1528, 4 denoviembre ",,,,
,Tristan,Libro del esforçado cauallero don tristan de leonis y de sus grandes hechos en armas ,,1528,castillan,imprimé,80 folios de 152*231 mm,British Library,Londres,51.5299119,-0.127691816354574,G.10259,,,,,
,Tristan,Libro del esforçado cauallero don tristan de leonis y de sus grandes hechos en armas ,,1528,castillan,imprimé,,Morgan Library,New York,40.7494600000001,-73.98169,E-22.48E,,,,,
,Tristan el joven,"Crónica nuevamente emendada y añadida del buen caballero don Tristán de Leonís y del rey don Tristán de Leonís el joven, su hijo ",,1534,castillan,imprimé,,Bibliothèque nationale de France,Paris,48.8350258,2.3760157,Rés. Y2-215,"Sevilla: Domenico de Robertis,",,Ampliación de texid 1277,BETA texid 4076 /  cnum 7426,
,Tristan el joven,"Crónica nuevamente emendada y añadida del buen caballero don Tristán de Leonís y del rey don Tristán de Leonís el joven, su hijo ",,1534,castillan,imprimé,207 folios,Biblioteca Universitaria de Valencia,Valencia,,,R-1/312,"Sevilla: Domenico de Robertis,",,,,
,Tristan el joven,"Crónica nuevamente emendada y añadida del buen caballero don Tristán de Leonís y del rey don Tristán de Leonís el joven, su hijo ",,1534,castillan,imprimé,,Médiathèque Pierre-Amalric,Albi,43.9026729827293,1.90452497541185,RES. ROCH. 00319,"Sevilla: Domenico de Robertis,",,,,
,Tristan el joven,"Crónica nuevamente emendada y añadida del buen caballero don Tristán de Leonís y del rey don Tristán de Leonís el joven, su hijo ",,1534,castillan,imprimé,,Biblioteca Apostolica Vaticana (Archivio Barberini),Cité du Vatican ,41.9041500000001,12.4541400000001,Stamp.Barb.KKK.VIII.34,"Sevilla: Domenico de Robertis,",,,,
,Tristan en prose,Tristany de Leonis,,(segunda mitad del siglo XIV),catalan,fragment,4 folios,Arxiu de les Set Claus,Andorra la Vella,42.5056499906376,1.52307001013452,Ms. 1 (a),,,,BITECA texid2557/cnum 2197,
,Tristan,Tristany de Leonis,,1401-1500 ?,catalan,fragment,,Biblioteca de Catalunya,Barcelone,41.3810089,2.1695118,8999/1,,,,BITECA texid 2557/ cnum 12247,
,Tristan,(Carta de Iseo y respuesta de Tristán ) Respuesta de Tristán disculpándose de la inocente culpa,Fin s. XV,,castillan,fragment,5 folios,Biblioteca Nacional de España,Madrid,40.4237276,-3.6899043, ms. 22021,"creacion ‘a partir del impresso de Sevilla, Juan Cromberger, 1528 (4 de noviembre)",,,BETA texid 1881,
,Tristan,Libro del esforçado cauallero don Tristan de leonis y de sus grandes fechos de armas,,1511,castillan,imprimé,,Library of Congress,Washington,38.8876000000001,-77.0046599999999,PQ6437. T8 1511,"Sevilla, Jacobo Cromberger",,,,
Cycle breton,Memorial das Proezas,Memorial das Proezas da Segunda Távola Redonda ,,1567,portugais,imprimé,in quarto,Biblioteca Geral da Universidade,Coimbra,46.3144754,11.0480288, R-12-25,"Coimbra, João de Barreira",Jorge Ferreira de Vasconcelo,"2eme edition du texte “ Livro primeiro da primeira parte dos Triunfos de Sagramor ”, aujourd’hui perdu",,
Cycle breton. Relatos breves caballerescos,"La crónica de los nobles caballeros Tablante de Ricamonte y de Jofre, hijo del Conde Donason.","La cronica de los nobles caualleros Tablante de Ricamonte, [e] de Jofre hijo del conde Donason [e] de las grandes auenturas [e] hechos de armas ¯q vuo yendo a libertar al conde don Mili¯a, que estaua preso como en la cronica siguiente parescera la qual fue sacada de las cronicas [e] gr¯ades hazañas d'los caualleros de la tabla redonda ",,1526,castillan,imprimé,in quarto,Biblioteca Nacional de España,Madrid,,,R/10668 ,Toledo,,,,https://bdh-rd.bne.es/viewer.vm?id=0000193798
Cycle breton. Relatos breves caballerescos,"La crónica de los nobles caballeros Tablante de Ricamonte y de Jofre, hijo del Conde Donason.","Cronica de los muy notables caualleros Tablante de Ricamonte, y de Iofre hijo del conde Donason ; ",,1564,castillan,imprimé,in quarto,Biblioteca Nacional de España,Madrid,,,R/3636 ,"Estella, en casa de Adrian de Anuers ",,,,https://bdh-rd.bne.es/viewer.vm?id=0000287478
Cycle breton. Relatos breves caballerescos,"La crónica de los nobles caballeros Tablante de Ricamonte y de Jofre, hijo del Conde Donason.","La crónica de los nobles caballeros Tablante de Ricamonte y de Jofre, hijo del conde Donasón",,1564,,,,Biblioteca de Catalunya,Barcelone,,,Res 1274 12º,"Sevilla : en casa de Sebastian Trugillo, 1564",,,,
Cycle breton. Relatos breves caballerescos,"La crónica de los nobles caballeros Tablante de Ricamonte y de Jofre, hijo del conde Donasón","La crónica de los nobles caballeros Tablante de Ricamonte y de Jofre, hijo del conde Donasón",XVI,NA ,castillan,imprimé,ff. a1r-f6v,Biblioteca de Catalunya,Barcelone,,,Bon. 9-I-17 ,Toledo: Juan Varela de Salamanca,,temoin releve sur Philobiblon mais pas trouve sur le catalogue de la bibliotheque,BETA texid 11139/  cnum 13398,
romance carolingio,Claros de Montalván,"Aqui se contienen quatro romances viejos, y este primero es de don Claros de Montalvan",,1565,castillan,imprimé,,Národní knihovna Ceské republiky ,Prague,,,IX.H.231(6,,,,,
,Cauallero Plácldas,Cauallero Plácldas,XIV/ XVe s.,,castillan,manuscrit,ff. 23v-32r:,Biblioteca del Monasterio de El Escorial,Madrid,,,ms. h-I-13,,,"traduce el texto francés de la Vie de Saint Eustache (dic. Filologico, p.250)",,
Cycle carolingien. Matiere de France,Historia Karoli Magni et Rotholandi,Crónica do Pseudo Turpín (História de Carlomagno e Roldán Livro IV),,ca. 1390-1420,galicien,fragment,"(Miragres de Santiago), fols. 17v-39v",Biblioteca Nacional de España,Madrid,40.4237276,-3.6899043,Ms. 7455,,Calixtinus,,BITAGAP texid 7257 /  cnum 14503,https://bdh-rd.bne.es/viewer.vm?id=0000134331&page=1
Cycle carolingien. Matiere de France,Carlos Maynes,Noble cuento del enperador Carlos Maynes de Rroma et de la buena enperatris Seuilla su mugier ,mediados del siglo XIV,,castillan,manuscrit,f. 124ra-152ra,Biblioteca del Monasterio de El Escoria,Madrid,,,ms. h-I-13,,ms. Flos sanctorum,Traduction de la Chanson de Sebile,,
Cycle carolingien. Matiere de France,Carlos Maynes,Cuento del enperador Carlos Maynes,,1500-1503,castillan,incunable,ff. 2r-39v,Biblioteca de Catalunya,Barcelone,,,Inc. 6 12.o,"Toledo, Pedro Hagembach, c. 1500-1503",,,,
Cycle carolingien. Matiere de France,Carlos Maynes,Noble cuento del enperador Carlos Maynes de Rroma et de la buena enperatris Seuilla su mugier ,,1532,castillan,imprimé,,Osterreichische Nationalbibliothek ,Vienne,,,66.G.30 (6),"Sevilla, Juan Croinberger, 1532",,,,
Cycle carolingien. Matiere de France,Carlos Maynes,Noble cuento del enperador Carlos Maynes de Rroma et de la buena enperatris Seuilla su mugier ,,1532,castillan,imprimé,,Bibliotheque de la Sorbonne,Paris,,,RXVI 879. Pièce 1,"Sevilla, Juan Croinberger, 1532",,Pièce figurant dans un recueil de cinq romans médiévaux publiés par J. Cromberger de 1532 à 1533. ,,https://nubis.univ-paris1.fr/ark:/15733/3579
Cycle carolingien. Matiere de France,Carlos Maynes,Noble cuento del enperador Carlos Maynes de Rroma et de la buena enperatris Seuilla su mugier ,,1551,castillan,imprimé,,Biblioteca Nacional de España,Madrid,,,R-11908,"Burgos,Juan de Junta, 1551",,,,
Cycle carolingien. Matiere de France,Carlos Maynes,Noble cuento del enperador Carlos Maynes de Rroma et de la buena enperatris Seuilla su mugier ,,1551,castillan,imprimé,,Biblioteca Nacional de España,Madrid,,,"R-31364, n.o 39","Burgos, Juan de Junta, c. 1551",,,,
,,,,1551,castillan,imprimé,,Bibliotheque Nationale de France,Paris,,,RES-Y2-849 ,"Burgos, Juan de Junta, c. 1551",,,,https://gallica.bnf.fr/ark:/12148/bpt6k3275822.image
Cycle carolingien. Matiere de France,Carlos Maynes,Noble cuento del enperador Carlos Maynes de Rroma et de la buena enperatris Seuilla su mugier ,,1553,castillan,imprimé,,Bayerische Staatsbibliothek,Muniche,,,Rar. 1807,"Burgos, Juan de Junta, 1553",,,,
Cycle carolingien. Matiere de France,Carlos Maynes,Noble cuento del enperador Carlos Maynes de Rroma et de la buena enperatris Seuilla su mugier ,,1585,castillan,imprimé,,Biblioteca de Catalunya,Barcelone,,,Bon. 9-II-25,"Toledo, Pedro López de Baro, 1585",,,,
Cycle carolingien. Matiere de France,Carlos Maynes,Hystoria de la Reyna Sebilla.  Agora nuevamente impressa,,1553,castillan,imprimé,,Bibliotheque Nationale de France,Paris,,,RES-Y2-850,"Burgos : Juan de Junta,  1553",anonyme,,,
Cycle carolingien. Matiere de France,Carlos Maynes,Hystoria de la Reyna Sebilla.  Agora nuevamente impressa,,1562,castillan,imprimé,,Biblioteca Nacional de España,Madrid,,,R/31364(39),"Burgos, Felipe de Junta, circa 1562",,,,
Cycle classique, (Roman de Troie),Crónica troyana de Afonso XI,,1350,galicien,manuscrit,185f (ff. 9r-194r),Biblioteca Nacional de España,Madrid,,,Ms. 10233,,trad. Fernan Martinez,,BITAGAtexid 1069/ cnum 1803,
Cycle classique,Cycle classique (Roman de Troie),His­toria troyana polimétrica,,1341,castillan,manuscrit,distribué en pl. folios. V.obs,Biblioteca Nacional de España,Madrid,,,MSS/10146,,"ff. 59-63, 67bis, 80-80bis, 81-83, 85-87, 87bis, 89-109, 113-23, 125-34, 136-47, 150-57, 163-78, 182-86, 188-95, 197-98, 200-216, 218, 220bis, 221-30, 233bis, 233-4 ff. 53-295v ",,BETA texid 1216/ cnum 516,
Cycle classique,,Crónica troyana ,,1341,castillan,manuscrit,distribué en pl. folios. V.obs,Biblioteca Nacional de España,Madrid,,,MSS/10146,,"ff. 1-58, 64-67, 70-71, 75, 77-79, 84, 88, 110-112, 124, 135, 148-49, 158-62, 179-81, 187, 196, 199, 217, 219-20, 231-33, 243-44, 255, 291-92, 296-305 (s. XV) ",,BETA texid 1143/ cnum 3386,
Cycle classique,Cycle classique (Roman de Troie),Historia troyana polimétrica,,1391,castillan,,ff. 157vb-180vb, Real Biblioteca del Monasterio de San Lorenzo de El Escorial (RBME),Madrid,,,L-II-16 ,,,Va intercalada en la Versión de Alfonso XI.,BETA texid 1216/BETA cnum 756,
Cycle classique,,La coronica troyana,,1391,castillan,,ff. 1ra-74vb, Real Biblioteca del Monasterio de San Lorenzo de El Escorial (RBME),Madrid,,,L-II-16 ,,,,BETA texid 1144/cnum 710,
Cycle classique,Cycle classique (Roman de Troie),Crónica troyana de Afonso XI,,Ca 1365-9,castillan,,ff. 1ra-183rb, Real Biblioteca del Monasterio de San Lorenzo de El Escorial (RBME),Madrid,,, ms. h.j.6,copie par Nicolás González (Zarco: f. 183vb),"copie par Fernán Martínez, 1373",,BETA texid 1143/cnum 752,
Cycle classique,Cycle classique (Roman de Troie),Crónica troyana de Afonso XI,,1391,castillan,,"ff. 74vb-157rb, 180rb-353vb", Real Biblioteca del Monasterio de San Lorenzo de El Escorial (RBME),Madrid,,,L-II-16,,,,BETA texid 1143/ cnum 755,
,Cycle classique (Roman de Troie),His­toria troyana,,1380 (trad.),castillan ,,ff. 71r-194v,Biblioteca Nacional de España,Madrid,,,MSS/10801,,auteur Guido de Columna,castillan (-aragonais),BETAtexid 1500/ cnum 1094,
,,El libro de la istorya troyana,,1443 (trad.),castillan,,ff. 1r-174va,Biblioteca de Menéndez Pelayo,Santander,,,M-561,,auteur Guido de Columna. Trad/ Pedro de Chinchilla 1443,,BETA texid 1454/1 cnum 990,
,Cycle classique (Roman de Troie),Historia troyana,,XIV s., galicien et castillan,manuscrit,ff.: 200 (ff. 1ra-219vb),Biblioteca de Menéndez Pelayo,Santander,,,Ms 558,,,"Alterna el texto castellano con una trad. gallega de la misma versión. En castellano ff. 17-19, 21-24, 26-30, 41-45, 51-52, 59, 68, 73-97, 102-3, 108-69, 180-206, 214-15 (Lorenzo 32).",BITAGAP texid 5936/ cnum 1997,https://www.marseca.es/bibliotecademenendezpelayo/pdf/PDF%20inventario%20papeles/PDF/Manuscritos/5.%20Anonimo_Cronica_troyana.pdf
,,La troyana ystoria,,1490,castillan,incunable,,Biblioteca Nacional de Portugal,Lisbonne,,, INC. 113,"Burgos: Juan de Burgos, 1490-03-12 ",auteur: Guido de Columna,trad. De Pedro de Chinchilla 1443,BETA texid 1144/ BETA cnum 383,
,,La troyana ystoria,,1491,castillan,incunable,,Biblioteca Geral da Universidade de Coimbra,Coimbra,,,R-28-3,Burgos: Friedrich Biel,,"tr. Pedro Núñez Delgado, traducido 1350 ca. ",BETA texid 1144/cnum 607,
,,La cronica & destruycion de troya,,1495,castillan,incunable,,Biblioteca Nacional de España,Madrid,,,INC/733 ,"Pamplona: Arnaldo Guillén de Brocar, 1495 ca.",,, BETA texid 1144/cnum 711,
,,Historia troyana,,1519,castillan,imprimé,,Biblioteca Nacional de España,Madrid,,,R/11645,Sevilla: Jacobo Cromberger (Norton),"(tr. Pedro Núñez Delgado), traducido 1350 ca. ",,BETA texid 1144/cnum 11617,
,,Historia troyana,,1519,castillan,imprimé,,Biblioteca Nacional de España,Madrid,,,R/11645,,,,BETA texid 1144/cnum 11484,
,,Sumas de la historia troyana,,XIV s.,castillan,manuscrit,ff. 1ra-126ra,Biblioteca Nacional de España,Madrid,,,MSS/9256,,auteur Leomarte,,BETA texid 1567/ cnum 1214,
,,Sumas de la historia troyana,,1401,castillan,manuscrit,,Biblioteca Nacional de España,Madrid,,,MSS/6419 ,,,, BETA texid 1567/cnum 1215,
,,Verdadero argumento de la historia troyana ,,1442,castillan,fragment,ff. 63v-64r,British Library,Londres,,,Add. 21245,,Auteur : Pier Candido Decembrio,,BETA texid 2166/cnum 2795,
,Historia destructionis Troia,Coronica troiana em linguoajem purtuguesa,,1527,portugais,manuscrit,,Biblioteca Nacional de Portugal,Lisbonne,,,COD. 298,,auteur Guido de Columna,"Lorenzo supone que se trata de un MS mutilado en castellano, completado en gallego ",,Tradução de: Historia destructionis Troiae
,Crónica de 1344,Cronica general de Espana,,1520,castillan,manuscrit,,Biblioteca Histórica de la USAL ,Salamanca,,,MS 2656,,don Pedro de Barcelos,traducida de un original portugués,,
,,Livro de linhagens ???,,,portugais,manuscrit,,,,,,,,,,,
,,Grande e general estoria.,siglo XIV,,castillan,manuscrit,,Biblioteca de Menéndez Pelayo,Santander,,,ms. 566,,,,,
,General Estoria,Estoria de las Bretañas,,,,,,,,,,,,,traducción castellana de la Historia Regum Britanniae de Godofredo de Monmouth conservada en la General Estoria de Alfonso X,,
